Country Code,City,Location,Coordinates,Pollutant,Source Name,Unit,Value,Last Updated,Country Label
IN,,Nehru Nagar,"26.470308800000005, 80.3251749",PM2.5,CPCB,µg/m³,167.0,2018-02-22T08:45:00+05:30,India
IN,,"Burari Crossing, Delhi - IMD","28.7256504, 77.2011573",O3,caaqm,µg/m³,36.63,2022-08-03T16:30:00+05:30,India
IN,,"Golden Temple, Amritsar - PPCB","31.62, 74.876512",PM2.5,caaqm,µg/m³,129.31,2022-10-31T07:30:00+05:30,India
IN,,"Golden Temple, Amritsar - PPCB","31.62, 74.876512",SO2,caaqm,µg/m³,7.21,2022-10-31T07:30:00+05:30,India
IN,,"Alandur Bus Depot, Chennai - CPCB","12.909916100000002, 80.1076538",PM2.5,caaqm,µg/m³,88.77,2022-10-31T07:15:00+05:30,India
IN,,"City Railway Station, Bengaluru - KSPCB","12.9756843, 77.5660749",CO,caaqm,µg/m³,1420.0,2022-10-31T07:15:00+05:30,India
IN,,"Collectorate, Jodhpur - RSPCB","26.268249, 73.0193853",CO,caaqm,µg/m³,590.0,2022-10-31T07:15:00+05:30,India
IN,,"Pimpleshwar Mandir, Thane - MPCB","19.192056, 72.9585188",PM10,caaqm,µg/m³,72.15,2022-10-16T17:15:00+05:30,India
IN,,"Asansol Court Area, Asansol - WBPCB","23.685297, 86.945968",PM2.5,caaqm,µg/m³,74.44,2022-10-31T07:15:00+05:30,India
IN,,"Nishant Ganj, Lucknow - UPPCB","26.871428, 80.957145",PM2.5,caaqm,µg/m³,5.0,2019-08-21T13:45:00+05:30,India
IN,,"Chandrapur, Chandrapur - MPCB","19.645324, 77.6345232",PM2.5,caaqm,µg/m³,66.0,2022-10-31T07:30:00+05:30,India
IN,,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB","23.5404352, 87.2892225",PM2.5,caaqm,µg/m³,50.26,2022-10-31T07:15:00+05:30,India
IN,,"Central University, Hyderabad - TSPCB","17.460103, 78.334361",CO,caaqm,µg/m³,700.0,2022-10-31T07:30:00+05:30,India
IN,,"Sanegurava Halli, Bengaluru - KSPCB","12.990328, 77.5431385",NO2,caaqm,µg/m³,21.64,2022-10-31T07:30:00+05:30,India
IN,,"ICRISAT Patancheru, Hyderabad - TSPCB","17.4342359, 78.4170318",O3,data.gov.in,µg/m³,53.0,2022-03-25T05:00:00+05:30,India
IN,,"Vivek Vihar, Delhi - DPCC","28.6687803, 77.3130982",PM10,caaqm,µg/m³,416.0,2018-05-12T11:30:00+05:30,India
IN,,"Jawaharlal Nehru Stadium, Delhi - DPCC","28.5828503, 77.2321778",NO2,caaqm,µg/m³,23.4,2018-05-10T15:00:00+05:30,India
IN,,"Dwarka-Sector 8, Delhi - DPCC","28.5206826, 76.8023871",O3,caaqm,µg/m³,187.9,2018-05-12T10:30:00+05:30,India
IN,,"Jahangirpuri, Delhi - DPCC","28.7258373, 77.1605631",PM2.5,caaqm,µg/m³,127.0,2018-05-12T12:00:00+05:30,India
IN,,"Punjabi Bagh, Delhi - DPCC","28.674045000000003, 77.13102300000001",NO2,caaqm,µg/m³,54.7,2022-10-16T19:45:00+05:30,India
IN,,"Bandhavgar Colony, Satna - Birla Cement","24.584343630000003, 80.85494140000002",NO2,caaqm,µg/m³,12.21,2022-10-31T07:30:00+05:30,India
IN,,"Gobind Pura, Yamuna Nagar - HSPCB","30.1480566, 77.2893471",O3,caaqm,µg/m³,1.74,2022-10-31T07:00:00+05:30,India
IN,,"Urban Estate-II, Hisar - HSPCB","29.140559999999997, 75.744941",O3,caaqm,µg/m³,82.7,2022-10-31T07:15:00+05:30,India
IN,,"Kalal Majra, Khanna - PPCB","30.736056, 76.209694",SO2,caaqm,µg/m³,7.95,2022-10-31T06:30:00+05:30,India
IN,,"Belur Math, Howrah - WBPCB","22.629801, 88.352017",SO2,caaqm,µg/m³,0.0,2022-10-31T07:15:00+05:30,India
IN,,"Sector-2 IMT, Manesar - HSPCB","28.360699, 76.93609",PM10,caaqm,µg/m³,345.9,2022-10-31T07:15:00+05:30,India
IN,,"Powai, Mumbai - MPCB","19.1375, 72.915056",PM2.5,caaqm,µg/m³,28.0,2022-10-16T18:45:00+05:30,India
IN,,"Sector-18, Panipat - HSPCB","29.497973, 76.993331",CO,caaqm,µg/m³,2060.0,2022-10-31T07:15:00+05:30,India
IN,,"Sector-18, Panipat - HSPCB","29.497973, 76.993331",PM2.5,caaqm,µg/m³,89.5,2022-10-31T07:15:00+05:30,India
IN,,"Patti Mehar, Ambala - HSPCB","30.379589, 76.778328",NO2,caaqm,µg/m³,2.71,2022-10-31T07:15:00+05:30,India
IN,,"Patti Mehar, Ambala - HSPCB","30.379589, 76.778328",SO2,caaqm,µg/m³,4.72,2022-10-31T07:15:00+05:30,India
IN,,"Patti Mehar, Ambala - HSPCB","30.379589, 76.778328",PM2.5,caaqm,µg/m³,115.58,2022-10-31T07:15:00+05:30,India
IN,,"Phase-1 GIDC, Vapi - GPCB","20.362421, 72.91801299999999",O3,caaqm,µg/m³,0.0,2022-10-12T10:15:00+05:30,India
IN,,"Jai Bhim Nagar, Meerut - UPPCB","28.953588200000002, 77.7622941",CO,caaqm,µg/m³,1290.0,2022-10-31T07:30:00+05:30,India
IN,,"Sector-1, Noida - UPPCB","28.589800000000004, 77.3101",CO,caaqm,µg/m³,8970.0,2022-10-13T11:45:00+05:30,India
