country_code,location,pollutant,source_name,unit,value,last_updated,country_label,latitude,longitude
IN,"sector-53, chandigarh - cpcc",pm10,caaqm,µg/m³,94.0,2022-10-31 07:15:00+05:30,india,30.719858999999996,76.738637
IN,"drcc anandpur, begusarai - bspcb",pm10,caaqm,µg/m³,510.0,2022-10-31 07:15:00+05:30,india,25.444266,86.140169
IN,"manipur university, imphal - manipur pcb",co,caaqm,µg/m³,140.0,2022-10-15 15:15:00+05:30,india,24.7524239,93.92862179999999
IN,"chalai bazaar, ramanathapuram - tnpcb",no2,caaqm,µg/m³,1.17,2022-10-31 07:30:00+05:30,india,9.36399,78.831977
IN,"mendonsa colony, dindigul - tnpcb",so2,caaqm,µg/m³,35.54,2022-10-16 21:30:00+05:30,india,10.358535000000002,77.98432100000001
IN,"btm layout, bengaluru - kspcb",pm2.5,cpcb,µg/m³,45.62,2018-02-22 08:30:00+05:30,india,12.912811110000002,77.60921944
IN,collectorate - muzaffarpur - bspcb,o3,cpcb,µg/m³,2.4,2018-02-22 05:15:00+05:30,india,26.0762,85.4115
IN,collectorate - muzaffarpur - bspcb,pm2.5,cpcb,µg/m³,245.0,2018-02-22 05:15:00+05:30,india,26.0762,85.4115
IN,"sector16a, faridabad - hspcb",no2,cpcb,µg/m³,69.44,2018-02-22 08:55:00+05:30,india,28.410122219999998,77.313775
IN,nehru nagar,pm2.5,cpcb,µg/m³,167.0,2018-02-22 08:45:00+05:30,india,26.470308800000005,80.3251749
IN,"burari crossing, delhi - imd",o3,caaqm,µg/m³,36.63,2022-08-03 16:30:00+05:30,india,28.7256504,77.2011573
IN,"golden temple, amritsar - ppcb",pm2.5,caaqm,µg/m³,129.31,2022-10-31 07:30:00+05:30,india,31.62,74.876512
IN,"golden temple, amritsar - ppcb",so2,caaqm,µg/m³,7.21,2022-10-31 07:30:00+05:30,india,31.62,74.876512
IN,"alandur bus depot, chennai - cpcb",pm2.5,caaqm,µg/m³,88.77,2022-10-31 07:15:00+05:30,india,12.909916100000002,80.1076538
IN,"city railway station, bengaluru - kspcb",co,caaqm,µg/m³,1420.0,2022-10-31 07:15:00+05:30,india,12.9756843,77.5660749
IN,"collectorate, jodhpur - rspcb",co,caaqm,µg/m³,590.0,2022-10-31 07:15:00+05:30,india,26.268249,73.0193853
IN,"pimpleshwar mandir, thane - mpcb",pm10,caaqm,µg/m³,72.15,2022-10-16 17:15:00+05:30,india,19.192056,72.9585188
IN,"asansol court area, asansol - wbpcb",pm2.5,caaqm,µg/m³,74.44,2022-10-31 07:15:00+05:30,india,23.685297,86.945968
IN,"nishant ganj, lucknow - uppcb",pm2.5,caaqm,µg/m³,5.0,2019-08-21 13:45:00+05:30,india,26.871428,80.957145
IN,"chandrapur, chandrapur - mpcb",pm2.5,caaqm,µg/m³,66.0,2022-10-31 07:30:00+05:30,india,19.645324,77.6345232
IN,"sidhu kanhu indoor stadium, durgapur - wbpcb",pm2.5,caaqm,µg/m³,50.26,2022-10-31 07:15:00+05:30,india,23.5404352,87.2892225
IN,"central university, hyderabad - tspcb",co,caaqm,µg/m³,700.0,2022-10-31 07:30:00+05:30,india,17.460103,78.334361
IN,"sanegurava halli, bengaluru - kspcb",no2,caaqm,µg/m³,21.64,2022-10-31 07:30:00+05:30,india,12.990328,77.5431385
IN,"icrisat patancheru, hyderabad - tspcb",o3,data.gov.in,µg/m³,53.0,2022-03-25 05:00:00+05:30,india,17.4342359,78.4170318
IN,"vivek vihar, delhi - dpcc",pm10,caaqm,µg/m³,416.0,2018-05-12 11:30:00+05:30,india,28.6687803,77.3130982
