country_code,location,pollutant,source_name,unit,value,last_updated,country_label,latitude,longitude,date,year,month,hour,weekday,is_weekend
IN,"sector-12, karnal - hspcb",pm2.5,caaqm,µg/m³,159.43,2022-10-31 07:00:00+05:30,india,29.6953,77.0027,2022-10-31,2022,10,7,Monday,False
IN,"meelavittan, thoothukudi - tnpcb",pm10,caaqm,µg/m³,30.0,2022-10-16 21:30:00+05:30,india,8.816428,78.099039,2022-10-16,2022,10,21,Sunday,True
IN,"lodhi road, delhi - iitm",co,caaqm,µg/m³,500.0,2022-08-02 15:00:00+05:30,india,28.588333,77.22166700000001,2022-08-02,2022,8,15,Tuesday,False
IN,"chakala-andheri east, mumbai - iitm",pm2.5,caaqm,µg/m³,32.74,2022-10-16 18:30:00+05:30,india,19.11074,72.86084,2022-10-16,2022,10,18,Sunday,True
IN,"mulund west, mumbai - mpcb",no2,caaqm,µg/m³,18.98,2022-10-16 21:15:00+05:30,india,19.175,72.9419,2022-10-16,2022,10,21,Sunday,True
IN,"kandivali east, mumbai - mpcb",o3,caaqm,µg/m³,8.57,2022-10-12 14:15:00+05:30,india,19.2058,72.8682,2022-10-12,2022,10,14,Wednesday,False
IN,"naubad, bidar - kspcb",co,caaqm,µg/m³,4630.0,2022-10-16 15:45:00+05:30,india,17.930306,77.482194,2022-10-16,2022,10,15,Sunday,True
IN,"panchal nagar, gadag - kspcb",co,caaqm,µg/m³,420.0,2022-10-15 15:00:00+05:30,india,15.411456,75.638133,2022-10-15,2022,10,15,Saturday,True
IN,"gift city, gandhinagar - iitm",o3,caaqm,µg/m³,15.22,2022-07-07 14:30:00+05:30,india,23.163798,72.677768,2022-07-07,2022,7,14,Thursday,False
IN,"gift city, gandhinagar - iitm",co,caaqm,µg/m³,680.0,2022-07-07 14:30:00+05:30,india,23.163798,72.677768,2022-07-07,2022,7,14,Thursday,False
IN,"shastripuram, agra - uppcb",pm10,caaqm,µg/m³,106.65,2022-10-16 21:30:00+05:30,india,27.19862,77.92066,2022-10-16,2022,10,21,Sunday,True
IN,"nsi kalyanpur, kanpur - uppcb",no2,caaqm,µg/m³,31.2,2022-10-31 07:30:00+05:30,india,26.509954,80.249612,2022-10-31,2022,10,7,Monday,False
IN,"nsi kalyanpur, kanpur - uppcb",pm10,caaqm,µg/m³,178.29,2022-10-31 07:30:00+05:30,india,26.509954,80.249612,2022-10-31,2022,10,7,Monday,False
IN,"kamalnath nagar, bettiah - bspcb",co,caaqm,µg/m³,930.0,2022-10-16 21:15:00+05:30,india,26.80365,84.51954,2022-10-16,2022,10,21,Sunday,True
IN,"fti kidwai nagar, kanpur - uppcb",o3,caaqm,µg/m³,10.67,2022-10-31 07:30:00+05:30,india,26.428282,80.327067,2022-10-31,2022,10,7,Monday,False
IN,"shahjahan garden, agra - uppcb",co,caaqm,µg/m³,1080.0,2022-10-31 07:30:00+05:30,india,27.169338,78.03582,2022-10-31,2022,10,7,Monday,False
IN,"central jail, buxar - bspcb",no2,caaqm,µg/m³,4.1,2022-10-31 07:15:00+05:30,india,25.555605,83.950942,2022-10-31,2022,10,7,Monday,False
IN,"chitragupta nagar, siwan - bspcb",co,caaqm,µg/m³,790.0,2022-10-31 07:15:00+05:30,india,26.2271665,84.35704269999998,2022-10-31,2022,10,7,Monday,False
IN,"forest rest house, manguraha - bspcb",so2,caaqm,µg/m³,7.1,2022-10-16 21:15:00+05:30,india,25.357288,84.107844,2022-10-16,2022,10,21,Sunday,True
IN,"kharahiya basti, araria - bspcb",co,caaqm,µg/m³,3090.0,2022-10-31 07:15:00+05:30,india,26.146529,87.454184,2022-10-31,2022,10,7,Monday,False
IN,"punjabi bagh, delhi - dpcc",so2,cpcb,µg/m³,3.1,2018-02-22 02:45:00+05:30,india,28.6683,77.1167,2018-02-22,2018,2,2,Thursday,False
IN,"md university, rohtak - hspcb",pm10,cpcb,µg/m³,72.92,2017-10-13 14:45:00+05:30,india,28.876028,76.619464,2017-10-13,2017,10,14,Friday,False
IN,"haldia, haldia - wbpcb",co,caaqm,µg/m³,810.0,2022-10-31 07:30:00+05:30,india,22.06047,88.109737,2022-10-31,2022,10,7,Monday,False
IN,"rabindra bharati university, kolkata - wbspcb",co,cpcb,µg/m³,420.0,2017-10-26 11:30:00+05:30,india,22.627875,88.3804,2017-10-26,2017,10,11,Thursday,False
IN,"rabindra bharati university, kolkata - wbspcb",no2,cpcb,µg/m³,39.7,2017-10-28 20:00:00+05:30,india,22.627875,88.3804,2017-10-28,2017,10,20,Saturday,True
IN,"sanjay palace, agra - uppcb",so2,caaqm,µg/m³,2.1,2022-10-31 07:30:00+05:30,india,27.19865833,78.00598056,2022-10-31,2022,10,7,Monday,False
IN,central school,pm2.5,cpcb,µg/m³,190.61,2018-02-22 09:30:00+05:30,india,26.85272778,80.99632778,2018-02-22,2018,2,9,Thursday,False
IN,"sector-6, panchkula - hspcb",o3,caaqm,µg/m³,39.29,2022-10-31 07:15:00+05:30,india,30.7057778,76.8531805555555,2022-10-31,2022,10,7,Monday,False
IN,aaqms karve road pune,o3,cpcb,µg/m³,15.76,2018-02-22 08:30:00+05:30,india,18.497484,73.81349,2018-02-22,2018,2,8,Thursday,False
IN,saneguravahalli - kspcb,pm10,cpcb,µg/m³,64.75,2018-02-22 05:15:00+05:30,india,12.9916694,77.5458305555555,2018-02-22,2018,2,5,Thursday,False
IN,ardhali bazar,pm10,cpcb,µg/m³,519.0,2018-02-22 08:30:00+05:30,india,25.35055556,82.97833333,2018-02-22,2018,2,8,Thursday,False
IN,"bwssb kadabesanahalli, bengaluru - kspcb",pm2.5,cpcb,µg/m³,40.94,2018-02-22 08:30:00+05:30,india,12.93890556,77.69727222,2018-02-22,2018,2,8,Thursday,False
IN,nehru nagar,so2,cpcb,µg/m³,12.4,2018-02-22 08:45:00+05:30,india,26.470308800000005,80.3251749,2018-02-22,2018,2,8,Thursday,False
IN,"anand vihar, delhi - dpcc",so2,caaqm,µg/m³,14.5,2022-10-31 05:45:00+05:30,india,28.647622,77.315809,2022-10-31,2022,10,5,Monday,False
IN,"btm layout, bengaluru - cpcb",pm10,caaqm,µg/m³,57.7,2022-10-16 21:30:00+05:30,india,12.9135218,77.59508040000001,2022-10-16,2022,10,21,Sunday,True
