Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Spain,ESP,GDP per capita (current US$),NY.GDP.PCAP.CD,407.96302786933,463.19044087717,535.391059454488,627.278450964262,694.952086797899,797.377066170904,915.62923367863,996.571863525297,978.292373768035,1109.13637135526,1211.42343321309,1361.19251917206,1707.58800052655,2245.9479911066,2747.96036737994,3207.54465082024,3276.97023260494,3624.99940255962,4353.3273744052,5766.09296672485,6204.14321544225,5367.32976278411,5156.02303792945,4475.30126831295,4486.78173863382,4696.29879620729,6508.8506547565,8233.72822993027,9696.1928538538,10674.3410230107,13795.0159385128,14801.3226152172,16100.6799428032,13330.3798192211,13405.704414883,15460.9110266653,16100.6215831114,14722.3717633536,15382.3348573373,15707.9473068138,14743.2671031455,15368.2337984435,17111.0685058941,21522.0170990262,24925.0267844576,26450.9530130382,28421.686527407,32652.015594702,35603.248328071,32279.8208476151,30658.7422282912,31824.6219134777,28456.4438151477,29228.846559842,29707.765509467,25982.4416197775,26755.6061149398,28381.3425596906,30602.4212881113,29786.5245689007,27233.9426461608,30799.4775937775,30319.4987196616,33493.2225409111,35326.7683069278
Spain,ESP,"Population, total",SP.POP.TOTL,30455000,30739250,31023366,31296651,31609195,31954292,32283194,32682947,33113134,33441054,33814531,34224490,34604469,34988947,35373335,35757900,36137812,36511638,36864898,37191330,37491165,37758631,37986012,38171525,38330364,38469512,38584624,38684815,38766939,38827764,38867322,38966376,39157685,39361262,39549108,39724050,39889852,40057389,40223509,40386875,40567864,40850412,41431558,42187645,42921895,43653155,44397319,45226803,45954106,46362946,46576897,46742697,46773055,46604197,46460733,46422303,46458139,46571232,46782011,47118501,47359424,47443821,47786102,48352528,48848840
Spain,ESP,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,113.414573669434,115.331329345703,115.286270141602,114.452789306641,115.084503173828,117.570930480957,117.273666381836,117.488693237305,117.210586547852,117.357116699219,122.622512817383,126.152786254883,127.786712646484,126.716270446777,125.335800170898,124.85466003418,123.269889831543,120.555923461914,119.430198669434,118.524719238281,117.367767333984,119.114921569824,119.015510559082,118.361709594727,..
Sri Lanka,LKA,Individuals using the Internet (% of population),IT.NET.USER.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,0.00277,0.00548,0.0545,0.162,0.296,0.348,0.64741,0.793822,1.05042,1.45858,1.44616,1.79205,2.53757,3.88,..,..,..,..,..,..,10.5,15.26,22.19,25.1,28.3,32,36.1847,44.4531,48.3,51.2,..
Sri Lanka,LKA,GDP per capita (current US$),NY.GDP.PCAP.CD,145.928701305768,145.900945139998,141.383197837884,119.352332353465,122.941808998544,155.566984755479,156.606032177183,162.294823066611,153.48764748655,163.60657987529,186.900791824546,188.760802167739,199.38289288123,220.170239208337,268.650905004753,279.82158260032,260.301495010261,292.148992496788,190.996464636951,230.775069370251,271.055290073685,292.45135975768,311.957878889278,335.823151714647,391.369617569858,384.611537689196,407.164600454213,419.824409443665,434.015552780537,430.02388973818,491.213686238493,546.292515570886,579.655117618283,607.231847102846,678.268012020205,741.838255293455,776.192371057587,827.035756058631,847.533577843861,829.356379527539,860.199884304769,803.544026627385,834.936014905338,946.382255128072,1028.62068132555,1207.21994764165,1388.89739119932,1578.63451125392,1973.58476901287,2026.65939950702,2808.36244503709,3224.95745150496,3327.77613691283,3739.43181100202,3972.04375736464,4057.7158346231,4149.19190775593,4398.88828068715,4358.56095906047,4081.94772722003,3847.60137695639,3996.96240014909,3342.63650253855,3798.89016573011,4515.56787322732
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,9661389,9899372,10143754,10395040,10653397,10916965,11183928,11457328,11736088,12013858,12287110,12551910,12809205,13060916,13305693,13548984,13796770,14049371,14310128,14579614,14847974,15099414,15286567,15388794,15441860,15544154,15731256,15916576,16078621,16248557,16352458,16475354,16739284,17025918,17275773,17564068,17905018,18248200,18596003,18944731,19293054,19600362,19805752,19951521,20087605,20216524,20352411,20492545,20629378,20756435,20879089,21009048,21169458,20585000,20778000,20970000,21209000,21453000,21670000,21803000,21919000,22156000,22181000,22037000,21916000
Sri Lanka,LKA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,..,..,..,..,49.2505111694336,51.6891899108887,55.5601196289062,55.263500213623,53.3783683776855,..,49.1049880981445,..,..,..,54.1310386657715,54.6156997680664,55.0554695129395,57.0993614196777,59.2479705810547,60.9637184143066,63.5448684692383,78.7480316162109,80.9314575195312,82.8787994384766,83.8623580932617,83.5733489990234,84.8462829589844,85.1434936523438,86.983772277832,87.1477432250977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,92.3497085571289,94.108642578125,94.6744689941406,95.1442636196356,93.4926277980089,94.4516928962286,93.9037221276375,94.0418660922689,95.9107331693991,..,..,89.8339685558794,88.1918156520303,87.9534065332114,..
St. Kitts and Nevis,KNA,Individuals using the Internet (% of population),IT.NET.USER.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,1.95,2.26,3.34,4.4,5.86281,7.71473,21.1524,22.9698,24.7377,34,38.5,43.5,49.2,55.7,63,63.2,64,64.6,65.4,66.2,67,67.8,68.6,69.4,70.2753,74.3716,75.5566,76.4208,..
St. Kitts and Nevis,KNA,GDP per capita (current US$),NY.GDP.PCAP.CD,221.584586097067,225.599127572162,230.286541058342,240.139616588017,256.40471515277,265.823194079933,289.973108735753,344.457118650064,309.027410307969,346.592027290022,365.421692149038,443.938525320189,521.083031260752,551.413363188761,720.537205812844,765.12533365911,692.139328790191,1026.25343180719,1143.84000123408,1367.339965625,1597.6489908812,1894.44210241437,2022.52944188428,2052.11116535348,2341.40772929271,2650.9864691075,3140.11209537184,3573.284031831,4205.65468298165,4723.45351878204,5373.44824048425,5464.61025672087,5947.1211356266,6395.31437746849,7065.28291984056,7406.44486096454,7788.42839854571,8626.72257471312,8710.78984057184,9116.28627997718,9319.65545093525,10022.5919235637,10453.6587064313,10175.6295449989,10944.6183741768,11783.7867154145,13837.8495311219,14757.9579751035,16604.9448615905,16503.4119292794,16622.9457908577,17832.4572919975,17532.0559008608,18580.1301949935,20219.3954237956,20328.8003530109,21387.5415511103,22464.9899633959,22901.3816403197,23595.4923231291,18859.0190361046,18361.1449697886,21011.5744209816,22576.9248439166,23960.6534357084
St. Kitts and Nevis,KNA,"Population, total",SP.POP.TOTL,55810,55334,54461,53441,52326,51139,49898,48605,47245,45731,44606,44206,44033,43880,43738,43606,43482,43358,43217,43033,42850,42698,42532,42334,42113,41874,41618,41348,41062,40758,40432,40358,40715,41242,41776,42326,42877,43428,43998,44601,45248,45761,46020,46176,46315,46437,46569,46706,46835,46916,46846,46886,47033,47069,47089,47087,47075,47050,47008,46952,46870,46763,46709,46758,46843
